# Darya core lexicon — part 1 (function words, pronouns, numbers, family, basics)
# rank|dari|translit|pos|register|glossEn|exampleDari|exampleTranslit|exampleEn|tags|variants
1|و|wa|conjunction|neutral|and|من و تو دوست هستیم.|man wa tu dōst hastēm.|You and I are friends.||
2|در|dar|preposition|neutral|in, at|او در خانه است.|ō dar khāna ast.|He is at home.||
3|به|ba|preposition|neutral|to, for|من به مکتب می‌روم.|man ba maktab mērawam.|I go to school.||
4|از|az|preposition|neutral|from, of|او از کابل است.|ō az kābul ast.|She is from Kabul.||
5|که|ke|conjunction|neutral|that, which|می‌دانم که تو مانده هستی.|mēdānam ke tu mānda hastī.|I know that you are tired.||
6|این|īn|determiner|neutral|this|این کتاب خوب است.|īn ketāb khōb ast.|This book is good.||
7|را|rā|particle|neutral|(object marker)|کتاب را خواندم.|ketāb rā khāndam.|I read the book.||
8|با|bā|preposition|neutral|with|با دوستم چای می‌خورم.|bā dōstam chāy mēkhuram.|I have tea with my friend.||
9|آن|ān|determiner|neutral|that|آن مرد معلم است.|ān mard mu'allem ast.|That man is a teacher.||
10|است|ast|verb|neutral|is|هوا سرد است.|hawā sard ast.|The weather is cold.||
11|من|man|pronoun|neutral|I|من شاگرد هستم.|man shāgerd hastam.|I am a student.||
12|او|ō|pronoun|neutral|he, she|او برادر من است.|ō barādar-e man ast.|He is my brother.||
13|تو|tu|pronoun|neutral|you (singular)|تو کجا هستی؟|tu kujā hastī?|Where are you?||
14|ما|mā|pronoun|neutral|we|ما در کابل زندگی می‌کنیم.|mā dar kābul zendagī mēkunēm.|We live in Kabul.||
15|شما|shumā|pronoun|neutral|you (plural, polite)|شما چطور هستید؟|shumā chetōr hastēd?|How are you?||
16|آنها|ānhā|pronoun|neutral|they|آنها به بازار رفتند.|ānhā ba bāzār raftand.|They went to the market.||آن‌ها
17|چه|che|pronoun|neutral|what|چه می‌خواهی؟|che mēkhāhī?|What do you want?||چی
18|کی|kī|pronoun|neutral|who|این مرد کی است؟|īn mard kī ast?|Who is this man?||
19|کجا|kujā|adverb|neutral|where|خانه شما کجا است؟|khāna-ye shumā kujā ast?|Where is your house?||
20|چرا|cherā|adverb|neutral|why|چرا مانده هستی؟|cherā mānda hastī?|Why are you tired?||
21|چطور|chetōr|adverb|spoken|how|چطور هستید؟|chetōr hastēd?|How are you?||
22|بلی|balē|interjection|neutral|yes|بلی، من گرسنه هستم.|balē, man gushna hastam.|Yes, I am hungry.|dari-specific|
23|نه|na|interjection|neutral|no (also: nine, "nuh")|نه، تشکر.|na, tashakur.|No, thank you.||
24|هم|ham|adverb|neutral|also, too|من هم چای می‌خواهم.|man ham chāy mēkhāham.|I want tea too.||
25|یک|yak|numeral|neutral|one, a|یک کتاب دارم.|yak ketāb dāram.|I have one book.||
26|دو|dū|numeral|neutral|two|دو برادر دارم.|dū barādar dāram.|I have two brothers.||
27|سه|se|numeral|neutral|three|سه روز کار کردم.|se rōz kār kardam.|I worked for three days.||
28|چهار|chār|numeral|neutral|four|چهار بجه است.|chār baja ast.|It is four o'clock.||
29|پنج|panj|numeral|neutral|five|پنج سال در کابل بودم.|panj sāl dar kābul būdam.|I was in Kabul for five years.||
30|شش|shash|numeral|neutral|six|شش دقیقه وقت داریم.|shash daqīqa waqt dārēm.|We have six minutes.||
31|هفت|haft|numeral|neutral|seven|هفت روز در یک هفته است.|haft rōz dar yak hafta ast.|There are seven days in a week.||
32|هشت|hasht|numeral|neutral|eight|صبح هشت بجه کار می‌کنم.|subh hasht baja kār mēkunam.|I work at eight in the morning.||
33|ده|dah|numeral|neutral|ten|ده دقیقه صبر کن.|dah daqīqa sabr kun.|Wait ten minutes.||
34|صد|sad|numeral|neutral|hundred|این کتاب صد صفحه دارد.|īn ketāb sad safha dārad.|This book has a hundred pages.||
35|هزار|hazār|numeral|neutral|thousand|هزار افغانی دارم.|hazār afghānī dāram.|I have a thousand afghanis.||
36|خانه|khāna|noun|neutral|house, home|خانه ما کلان است.|khāna-ye mā kalān ast.|Our house is big.||
37|آب|āb|noun|neutral|water|یک گیلاس آب می‌خواهم.|yak gīlās āb mēkhāham.|I want a glass of water.||
38|نان|nān|noun|neutral|bread; food, meal|نان گرم بسیار خوش‌مزه است.|nān-e garm besyār khushmaza ast.|Warm bread is very tasty.||
39|چای|chāy|noun|neutral|tea|چای سبز می‌خوری؟|chāy-e sabz mēkhurī?|Do you drink green tea?||
40|روز|rōz|noun|neutral|day|امروز روز خوب است.|emrōz rōz-e khōb ast.|Today is a good day.||
